class, ncloc, cloc, dc, testMethodsLoc, numberOfMethods, numberOfTestMethods, numberOfFunctionalMethods, rfc, wmc, gitFileAge, gitTotCommits
org.jfree.chart.labels.BoxAndWhiskerToolTipGeneratorTest, 38, 73, 0.6576576576576577, 36, 5, 5, 0, 9, 5, January/3/2022/6:42, 9
org.jfree.chart.plot.compass.CompassPlotTest, 46, 75, 0.6198347107438017, 44, 3, 3, 0, 13, 3, January/3/2022/6:42, 3
org.jfree.chart.plot.CrosshairTest, 90, 74, 0.45121951219512196, 88, 5, 5, 0, 25, 5, January/3/2022/6:42, 10
org.jfree.chart.renderer.OutlierTest, 35, 63, 0.6428571428571429, 32, 4, 4, 0, 8, 4, January/3/2022/6:42, 4
org.jfree.chart.annotations.XYTextAnnotationTest, 82, 79, 0.4906832298136646, 80, 5, 5, 0, 19, 5, January/3/2022/6:42, 10
org.jfree.chart.labels.StandardFlowLabelGeneratorTest, 13, 51, 0.796875, 11, 2, 2, 0, 2, 2, January/3/2022/6:42, 3
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2Test, 66, 92, 0.5822784810126582, 64, 7, 7, 0, 23, 8, January/3/2022/6:42, 12
org.jfree.chart.plot.compass.WindNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.entity.FlowEntityTest, 36, 58, 0.6170212765957447, 34, 3, 3, 0, 7, 3, January/3/2022/6:42, 3
org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest, 51, 86, 0.6277372262773723, 49, 5, 5, 0, 11, 5, January/3/2022/6:42, 9
org.jfree.chart.ScatterPlotTest$LocalListener, 6, 147, 0.9607843137254902, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 8
org.jfree.chart.title.TitleTest, 31, 53, 0.6309523809523809, 29, 2, 2, 0, 7, 2, January/3/2022/6:42, 7
org.jfree.chart.XYAreaChartTest$LocalListener, 6, 146, 0.9605263157894737, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 8
org.jfree.chart.plot.compass.MeterNeedleTest, 36, 49, 0.5764705882352941, 34, 1, 1, 0, 9, 1, January/3/2022/6:42, 3
org.jfree.chart.plot.pie.PiePlotTest, 384, 213, 0.35678391959798994, 373, 16, 16, 0, 73, 18, January/3/2022/6:42, 3
org.jfree.chart.XYStepAreaChartTest, 55, 97, 0.6381578947368421, 24, 5, 2, 3, 19, 8, January/3/2022/6:42, 7
org.jfree.chart.title.CompositeTitleTest, 64, 76, 0.5428571428571428, 62, 5, 5, 0, 18, 6, January/3/2022/6:42, 11
org.jfree.chart.plot.dial.DialPointerTest, 71, 77, 0.5202702702702703, 69, 7, 7, 0, 17, 7, January/3/2022/6:42, 8
org.jfree.chart.labels.StandardXYZToolTipGeneratorTest, 76, 78, 0.5064935064935064, 74, 5, 5, 0, 9, 5, January/3/2022/6:42, 9
org.jfree.chart.urls.StandardXYURLGeneratorTest, 11, 53, 0.828125, 9, 2, 2, 0, 3, 2, January/1/2022/2:44, 7
org.jfree.chart.plot.compass.PlumNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.urls.StandardCategoryURLGeneratorTest, 39, 67, 0.6320754716981132, 37, 4, 4, 0, 6, 4, January/3/2022/6:42, 8
org.jfree.chart.ScatterPlotTest, 55, 98, 0.6405228758169934, 24, 5, 2, 3, 19, 8, January/3/2022/6:42, 8
org.jfree.chart.XYStepChartTest$LocalListener, 6, 158, 0.9634146341463414, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 9
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGeneratorTest, 7, 54, 0.8852459016393442, 5, 1, 1, 0, 2, 1, January/1/2022/2:44, 3
org.jfree.chart.StandardChartThemeTest, 131, 105, 0.4449152542372881, 129, 3, 3, 0, 35, 3, January/3/2022/6:42, 12
org.jfree.chart.axis.CategoryAxisTest, 93, 84, 0.4745762711864407, 91, 5, 5, 0, 18, 5, January/3/2022/6:42, 7
