path, package, class, tLOCs, assertions, tcmp
..\jfreechart\src\test\java\org\jfree\data\time\TimeSeriesTest.java, org.jfree.data.time, TimeSeriesTest implements SeriesChangeListener, 792, 214, 3.7009345794392523
..\jfreechart\src\test\java\org\jfree\data\time\WeekTest.java, org.jfree.data.time, WeekTest, 460, 71, 6.47887323943662
..\jfreechart\src\test\java\org\jfree\data\time\YearTest.java, org.jfree.data.time, YearTest, 328, 47, 6.9787234042553195
..\jfreechart\src\test\java\org\jfree\data\xy\DefaultHighLowDatasetTest.java, org.jfree.data.xy, DefaultHighLowDatasetTest, 111, 21, 5.285714285714286
..\jfreechart\src\test\java\org\jfree\data\xy\DefaultIntervalXYDatasetTest.java, org.jfree.data.xy, DefaultIntervalXYDatasetTest, 220, 71, 3.0985915492957745
..\jfreechart\src\test\java\org\jfree\data\xy\DefaultXYDatasetTest.java, org.jfree.data.xy, DefaultXYDatasetTest, 125, 28, 4.464285714285714
..\jfreechart\src\test\java\org\jfree\data\xy\DefaultXYZDatasetTest.java, org.jfree.data.xy, DefaultXYZDatasetTest, 131, 28, 4.678571428571429
..\jfreechart\src\test\java\org\jfree\data\xy\MatrixSeriesCollectionTest.java, org.jfree.data.xy, MatrixSeriesCollectionTest, 52, 10, 5.2
..\jfreechart\src\test\java\org\jfree\data\xy\TableXYDatasetTest.java, org.jfree.data.xy, TableXYDatasetTest, 139, 34, 4.088235294117647
..\jfreechart\src\test\java\org\jfree\data\xy\VectorSeriesTest.java, org.jfree.data.xy, VectorSeriesTest implements SeriesChangeListener, 160, 48, 3.3333333333333335
..\jfreechart\src\test\java\org\jfree\data\xy\XIntervalSeriesCollectionTest.java, org.jfree.data.xy, XIntervalSeriesCollectionTest, 101, 17, 5.9411764705882355
..\jfreechart\src\test\java\org\jfree\data\xy\XIntervalSeriesTest.java, org.jfree.data.xy, XIntervalSeriesTest implements SeriesChangeListener, 174, 51, 3.411764705882353
..\jfreechart\src\test\java\org\jfree\data\xy\XYBarDatasetTest.java, org.jfree.data.xy, XYBarDatasetTest, 65, 9, 7.222222222222222
..\jfreechart\src\test\java\org\jfree\data\xy\XYIntervalSeriesCollectionTest.java, org.jfree.data.xy, XYIntervalSeriesCollectionTest, 96, 17, 5.647058823529412
..\jfreechart\src\test\java\org\jfree\data\xy\XYIntervalSeriesTest.java, org.jfree.data.xy, XYIntervalSeriesTest implements SeriesChangeListener, 169, 53, 3.188679245283019
..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesCollectionTest.java, org.jfree.data.xy, XYSeriesCollectionTest, 314, 94, 3.3404255319148937
..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java, org.jfree.data.xy, XYSeriesTest, 512, 187, 2.7379679144385025
..\jfreechart\src\test\java\org\jfree\data\xy\YIntervalSeriesCollectionTest.java, org.jfree.data.xy, YIntervalSeriesCollectionTest, 90, 13, 6.923076923076923
..\jfreechart\src\test\java\org\jfree\data\xy\YIntervalSeriesTest.java, org.jfree.data.xy, YIntervalSeriesTest implements SeriesChangeListener, 158, 47, 3.3617021276595747
